Smiles,Molecule ChEMBL ID
Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL20926
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Br)c2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL383010
Cc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,CHEMBL20867
O=C(Nc1ncc(Cc2ccccc2)s1)c1cccs1,CHEMBL504598
O=C(Nc1nnc(COc2ccccc2)s1)c1cccs1,CHEMBL477342
O=C(Nc1ncc(Cc2ccc(Cl)cc2Cl)s1)c1cccs1,CHEMBL476303
O=C(Nc1ncc(Cc2cccc(C(F)(F)F)c2)s1)c1cccs1,CHEMBL477343
O=C(Nc1ncc(Cc2ccccc2F)s1)c1cccs1,CHEMBL477344
O=C(Nc1ncc(Cc2cccc(Cl)c2)s1)c1cccs1,CHEMBL518430
Cc1ccc(NC(=O)c2ccc3c(c2)CCC3N2CC[C@@H](N(C)C)C2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL3690081
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1C#Cn1cnc2c(NC3CC3)ncnc21,CHEMBL1169875
Cc1ccc(C(=O)Nc2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,CHEMBL1171473
Cc1ccc(C(=O)Nc2ccc(CN3CCNC(C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,CHEMBL1170078
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2c(c1)OCC(=O)N2,CHEMBL1171247
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCF)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,CHEMBL1171045
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@@H]1CCOC1,CHEMBL1242749
