zinc_id,smiles,predicted activity
ZINC000022055422,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CC(=O)O)CC2)n1,8.555341960413411
ZINC001772648210,N[C@H]1CN(c2ccc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2cc[nH]n2)C[C@@H]1O,8.55048149122807
ZINC000028888072,COc1cc2c(Nc3ccc(Cl)cc3Cl)c(C#N)cnc2cc1C#CCCN1CCN(C)CC1,8.536319952141312
ZINC000205871768,CCCN1CCN(c2nc(C)nc(Nc3ncc(C(=O)Nc4c(C)cccc4Cl)n3C)n2)CC1,8.363598440850355
ZINC000063306731,Cc1nc(Cc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,8.32388849923427
ZINC001772636628,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccncc2)c1,8.303762121212113
ZINC001772636627,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](O)C2)c(-c2ccncc2)c1,8.303762121212113
ZINC000224439860,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2C[C@H](O)[C@H](O)C2)c(-c2cncnc2)c1,8.259120045787547
ZINC000205871628,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)n2C)nc(N2CCN(CCO)CC2)n1,8.232314714453771
ZINC000140769678,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1,8.228352341154944
ZINC000087721934,Cc1nc(/N=C2\NC[C@H](C(=O)Nc3c(C)cccc3Cl)S2)cc(N2CCN(CCO)CC2)n1,8.102824954113622
ZINC000087721933,Cc1nc(/N=C2\NC[C@@H](C(=O)Nc3c(C)cccc3Cl)S2)cc(N2CCN(CCO)CC2)n1,8.102824954113622
ZINC000014952212,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCOCC2)n1,8.071920438560417
ZINC000033359308,Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,8.064319485786227
ZINC000033359306,Cc1nc(Nc2ncc(C(=O)Nc3ccccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,8.058997460455526
ZINC000022060813,Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3CO)s2)cc(N2CCN(CCO)CC2)n1,8.053325608235205
ZINC001772768788,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(C=O)CC2)n1,8.04976761194259
ZINC000029124053,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)ccc23)c(Cl)cc1Cl,8.044171408885829
ZINC000201874228,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[N+](O)(CCO)CC2)n1,8.03720097860084
ZINC000022055426,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[N+]([O-])(CCO)CC2)n1,8.036117645267508
ZINC000014952227,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCC(CO)CC2)n1,8.02751274022626
ZINC000169311255,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1cnc2[nH]ncc2c1,8.009367227596963
ZINC000028637323,Cc1nc(NCCN2CCOCC2)cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)n1,7.862443587344258
ZINC000028888061,COc1cc(Nc2c(C#N)cnc3cc(C#CCCN4CCN(C)CC4)ccc23)c(Cl)cc1Cl,7.765033630952379
ZINC000068244727,Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,7.71366444444444
ZINC001772651166,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(N)c(C)c1,7.646461594516594
ZINC000053295473,CCN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1,7.623631504329007
ZINC001772609616,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccn2cnnc2c1,7.606830660173159
ZINC000059749972,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)cn1,7.533433801355406
ZINC000140118811,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1cnc2[nH]ccc2c1,7.5288781918081895
ZINC001775964653,Cc1ccc(C(=O)Nc2cc(-n3ccnc3)cc(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,7.4702692187845825
ZINC000222127477,COc1cncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c1,7.450248486970545
ZINC000100614176,COc1cc(Nc2c(C#N)ncc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,7.4484274538086614
ZINC000028571238,Cc1ccc(NC(=O)c2ccc(CN3CC(N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1,7.4412333333333365
ZINC000222175813,CN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cncc5ccccc45)c3)cc2C(F)(F)F)CC1,7.412355804473301
ZINC000053229843,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]cnc5c4)c3)cc2C(F)(F)F)CC1,7.40178301587302
ZINC000219191154,CCc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,7.3514444150783405
ZINC000097957590,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#CC1=CNC2=CC=CNN12,7.342884271284272
ZINC000072132310,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5ccc[n+]([O-])c5)n4)c3)cc(C(F)(F)F)c2)cn1,7.333143134734258
ZINC001775964594,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4ncc(Cl)c(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,7.328270934269555
ZINC000222187722,CN1CCN(Cc2ccc(NC(=O)c3ccc(F)c(C#Cc4cncc5ccccc45)c3)cc2C(F)(F)F)CC1,7.321138001443
ZINC000142950803,Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Cl)c2)cc1Nc1nccc(-c2cccnc2)n1,7.320900588731573
ZINC000071422088,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Cc1nc(-c2cccnc2)cs1,7.3086995138258395
ZINC000575440206,Cc1cnn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)c1,7.302224548813858
ZINC000222187797,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(C#Cc4cncc5ccccc45)c3)cc2C(F)(F)F)CC1,7.2936843109668095
ZINC001772579124,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(N)nc1,7.283566504329005
ZINC001775963151,Cc1ccc(C(=O)Nc2cc(-n3cc(C)[n+]([O-])c3)cc(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,7.273744660093086
ZINC000149048612,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nnc2ccccn12,7.258959176003731
ZINC001772657768,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nc1,7.25895226190476
ZINC000116778143,Cc1ccc(C(=O)Nc2cc(-n3cncc3C)cc(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,7.2551855521413575
ZINC000070471839,COc1cc(Nc2cc(C#N)nc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,7.236233676030882
ZINC000473249094,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-n1cc(-c2cccnc2)cn1,7.2075529454998195
ZINC000390822379,Cc1ccn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)c1,7.196388957269029
ZINC000222165121,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nn1,7.172358120490619
ZINC000053276677,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4coc5ccccc45)c3)cc2C(F)(F)F)CC1,7.167733898878899
ZINC000040872877,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1ncc(-c2cccnc2)[nH]1,7.156627776867167
ZINC000040393740,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2ccncc2)c[nH]1,7.128366341638322
ZINC000137366748,Cc1cc(-c2cccnc2)nc(Nc2cc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)ccc2C)n1,7.124237349303378
ZINC000040873649,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2ccccc2)c[nH]1,7.112031571248154
ZINC000220109908,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2ccccc12,7.111306453823954
ZINC000065743052,Cc1ccc(NC(=O)c2cccc(CN3CCN(C)CC3)c2)cc1Nc1nccc(-c2cccnc2)n1,7.029101807855593
ZINC000053229152,Cc1ccc(C(=O)Nc2ccc(CN3CCN[C@@H](C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,7.027889999999986
ZINC000053229149,Cc1ccc(C(=O)Nc2ccc(CN3CCN[C@H](C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,7.027889999999986
ZINC000040913819,CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4ncc(-c5cccnc5)[nH]4)c3)cc2)CC1,7.004977734035105
